userId,aloneHow,eatAlone,eatDate,eatTogether
0,집에서 음식을 해 먹는다.,볶음밥,파스타,
1,밖에서 사 먹는다.,덥밥,데이트안함,고기꾸어먹음
2,밖에서 사 먹는다.,알밥,파스타,떡볶이
3,밖에서 사 먹는다.,제육덮밥,스테이크,막창구이
4,배달을 시킨다.,햄버거,양식(파스타),양 많은 것(닭갈비)
5,배달을 시킨다.,치킨,돈까스,치킨
6,밖에서 사 먹는다.,컵밥,파스타,파스타
7,밖에서 사 먹는다.,볶음밥,,삼겹살
8,집에서 음식을 해 먹는다.,파스타,,치킨
9,집에서 음식을 해 먹는다.,즉석식품이나 라면,파스타..?,파스타
10,집에서 음식을 해 먹는다.,라면,파스타,제육
11,밖에서 사 먹는다.,편의점,파스타,고기
12,집에서 음식을 해 먹는다.,계란후라이,한식,닭갈비
13,밖에서 사 먹는다.,라면,내 의지가 없어요,삼겹살 위드 소주
14,밖에서 사 먹는다.,샌드위치,파스타,라멘
15,밖에서 사 먹는다.,학식,파스타,돈부리
16,밖에서 사 먹는다.,찌개류,,고기
17,밖에서 사 먹는다.,분식,파스타,삼겹살
18,밖에서 사 먹는다.,컵밥,파스타,분식
19,밖에서 사 먹는다.,햄버거,양식,술안주
20,밖에서 사 먹는다.,김밥,병건이 미워,치킨
21,밖에서 사 먹는다.,참치회,피자,참치회
22,집에서 음식을 해 먹는다.,간장계란밥,파스타,스시
23,밖에서 사 먹는다.,찌개,감자탕,삼겹살
24,밖에서 사 먹는다.,컵밥,초밥,고기
25,집에서 음식을 해 먹는다.,라면,고기,떡볶이
26,배달을 시킨다.,한식류,양식류,고기
27,배달을 시킨다.,피자,,치킨
28,배달을 시킨다.,떡볶이,ㅠㅠ...,떡볶이!
29,집에서 음식을 해 먹는다.,김밥,돈까스,치킨
30,밖에서 사 먹는다.,라멘,피자,사시미
31,집에서 음식을 해 먹는다.,계란밥,,고기
32,밖에서 사 먹는다.,컵밥이 제일 편해용,파스타용,치맥이용
33,밖에서 사 먹는다.,컵밥,,딱히 정해진건없음 인원수따라다름
34,밖에서 사 먹는다.,회덮밥,,치킨
35,밖에서 사 먹는다.,샌드위치,돈부리,치킨
36,배달을 시킨다.,김밥,떡볶이,치킨
37,밖에서 사 먹는다.,백반,백반,곱창
38,밖에서 사 먹는다.,컵밥,일본식 덮밥,닭갈비
39,집에서 음식을 해 먹는다.,계란,커피,고기
40,집에서 음식을 해 먹는다.,제육,,각종구이
41,집에서 음식을 해 먹는다.,밥과국,파스타,한식
42,배달을 시킨다.,치킨,,파스타
43,밖에서 사 먹는다.,규동,,삼겹살
44,밖에서 사 먹는다.,"칼국수, 간단한 밥종류",피자,회
45,집에서 음식을 해 먹는다.,찌개,양식,고기
46,집에서 음식을 해 먹는다.,계란볶음밥...,케이크...................,팝콘(기본 안주)
47,배달을 시킨다.,컵밥,샤브샤브,분식
48,집에서 음식을 해 먹는다.,볶음밥,,고기류
49,집에서 음식을 해 먹는다.,라면,김치찌개,삼겹살
50,집에서 음식을 해 먹는다.,라면,쌀국수,삼겹살
51,배달을 시킨다.,햄버거,스테이크,치킨
52,밖에서 사 먹는다.,라면이요,데이트를 즐겨 하고 싶습니다.,일미요
53,집에서 음식을 해 먹는다.,라면,샤브샤브,칼국수
54,밖에서 사 먹는다.,제육볶음,파스타,치킨
55,집에서 음식을 해 먹는다.,볶음밥종류,여자친구의 선택.,고기
56,밖에서 사 먹는다.,컵밥,파스타,삼겹살
57,밖에서 사 먹는다.,최근에 무대뽀 사서 친구 자취방에서 먹었어요,데이트를 안해봤어요 하...,치킨이나 핫도그요!
58,밖에서 사 먹는다.,주먹밥,여자친구가 좋아하는 것,고기
59,배달을 시킨다.,집에서 짜장면,,치킨
60,밖에서 사 먹는다.,햄버거,스파게티,고기
61,밖에서 사 먹는다.,김밥,분식,짜장면
62,밖에서 사 먹는다.,브리또,ㅠㅠ,고기
63,밖에서 사 먹는다.,서브웨이,파스타 ,고기
64,밖에서 사 먹는다.,샌드위치,,피자
65,집에서 음식을 해 먹는다.,한식,이탈리안,이탈리안
66,배달을 시킨다.,게장,초밥,치킨
67,밖에서 사 먹는다.,면류,양식,일식
68,밖에서 사 먹는다.,돈부리,파스타,닭갈비
69,밖에서 사 먹는다.,컵밥,,고기
70,밖에서 사 먹는다.,햄버거,모태.........음음,고기
71,밖에서 사 먹는다.,쌀국수,비빔밥,파스타
72,집에서 음식을 해 먹는다.,카레,파스타,닭
73,밖에서 사 먹는다.,김밥,,고기
74,배달을 시킨다.,라면,,닭갈비
75,집에서 음식을 해 먹는다.,볶음밥,한정식,닭
76,밖에서 사 먹는다.,김밥에 라면,샤브샤브,갈매기살
77,밖에서 사 먹는다.,쌀국수,파스타,삼겹살
78,집에서 음식을 해 먹는다.,컵라면,,곱창
79,밖에서 사 먹는다.,브리또,파스타,치킨
80,밖에서 사 먹는다.,학식,,닭갈비
81,배달을 시킨다.,떡볶이,파스타,즉석떡볶이
82,집에서 음식을 해 먹는다.,라면,초밥,치킨
83,집에서 음식을 해 먹는다.,된장찌개 ,스파게티,삼겹살
